ключ,где на сайте,русский,узбекский,исправление
ui.report.outcome,Страница полного отчёта (/report),Что получите,Natijada nimaga ega boʻlasiz,
ui.report.tradeoff,Страница полного отчёта (/report),Лёгкий или сложный,Oson yoki qiyin,
ui.report.learningStyles.reading,Страница полного отчёта (/report),чтение,oʻqib oʻrganish,
ui.report.learningStyles.auditory,Страница полного отчёта (/report),слушание,tinglab oʻrganish,
ui.report.learningStyles.practice,Страница полного отчёта (/report),практика,qilib koʻrib oʻrganish,
ui.report.learningStyles.repetition,Страница полного отчёта (/report),повторение,takrorlab oʻrganish,
ui.report.yourStyle,Страница полного отчёта (/report),Ваш стиль восприятия: {style},Sizning oʻrganish uslubingiz: {style},
ui.report.whyYou,Страница полного отчёта (/report),Почему именно вы,Nega aynan siz,
ui.report.potential,Страница полного отчёта (/report),К чему это может привести,Bu nimaga olib kelishi mumkin,
ui.report.firstSteps,Страница полного отчёта (/report),С чего начать,Nimadan boshlash kerak,
ui.report.actNowNote,Страница полного отчёта (/report),Отмечайте сделанное — галочки сохраняются на этом устройстве.,Bajarganlaringizni belgilab boring — belgilar shu qurilmada saqlanadi.,
ui.report.disclaimerTitle,Страница полного отчёта (/report),Важно,Muhim,
ui.report.backToAccount,Страница полного отчёта (/report),Все мои отчёты,Barcha hisobotlarim,
ui.report.retake,Страница полного отчёта (/report),Пройти тесты заново,Testlardan qaytadan oʻtish,
ui.report.downloadPdf,Страница полного отчёта (/report),Скачать PDF,PDF yuklab olish,
ui.devProfile.title,Служебная страница /dev/profile (вне боевого сайта),Баллы сессии,Sessiya ballari,
ui.devProfile.note,Служебная страница /dev/profile (вне боевого сайта),Служебная страница для проверки подсчёта. На боевом сайте не открывается.,Hisoblashni tekshirish uchun xizmat sahifasi. Asosiy saytda ochilmaydi.,
ui.devProfile.session,Служебная страница /dev/profile (вне боевого сайта),Сессия,Sessiya,
ui.devProfile.pathType,Служебная страница /dev/profile (вне боевого сайта),Развилка,Tanlangan yoʻl,
ui.devProfile.status,Служебная страница /dev/profile (вне боевого сайта),Статус,Holat,
ui.devProfile.answered,Служебная страница /dev/profile (вне боевого сайта),Отвечено вопросов,Javob berilgan savollar,
ui.devProfile.notDone,Служебная страница /dev/profile (вне боевого сайта),"Тесты пройдены не полностью. Баллы появятся, когда будут отвечены все 110 вопросов.",Testlar toʻliq yakunlanmagan. Ballar 110 ta savolning barchasiga javob berilgandan keyin paydo boʻladi.,
ui.devProfile.bigFive,Служебная страница /dev/profile (вне боевого сайта),Big Five (личность),Big Five (shaxsiyat),
ui.devProfile.bigFiveNames.neuroticism,Служебная страница /dev/profile (вне боевого сайта),Нейротизм,Neyrotizm,
ui.devProfile.bigFiveNames.extraversion,Служебная страница /dev/profile (вне боевого сайта),Экстраверсия,Ekstraversiya,
ui.devProfile.bigFiveNames.openness,Служебная страница /dev/profile (вне боевого сайта),Открытость,Ochiqlik,
ui.devProfile.bigFiveNames.agreeableness,Служебная страница /dev/profile (вне боевого сайта),Доброжелательность,Xushmuomalalik,
ui.devProfile.bigFiveNames.conscientiousness,Служебная страница /dev/profile (вне боевого сайта),Сознательность,Masʼuliyatlilik,
ui.devProfile.levels.low,Служебная страница /dev/profile (вне боевого сайта),низкий,past,
ui.devProfile.levels.medium,Служебная страница /dev/profile (вне боевого сайта),средний,oʻrta,
ui.devProfile.levels.high,Служебная страница /dev/profile (вне боевого сайта),высокий,yuqori,
ui.devProfile.rawSum,Служебная страница /dev/profile (вне боевого сайта),сумма,yigʻindi,
ui.devProfile.sixteenType,Служебная страница /dev/profile (вне боевого сайта),16-тип,16 tip,
ui.devProfile.weakAxes,Служебная страница /dev/profile (вне боевого сайта),Слабо выраженные оси (только во внутренних данных),Kuchsiz ifodalangan oʻqlar (faqat ichki maʼlumotlarda),
ui.devProfile.none,Служебная страница /dev/profile (вне боевого сайта),нет,yoʻq,
ui.devProfile.riasec,Служебная страница /dev/profile (вне боевого сайта),RIASEC (интересы),RIASEC (qiziqishlar),
ui.devProfile.code,Служебная страница /dev/profile (вне боевого сайта),Код,Kod,
ui.devProfile.values,Служебная страница /dev/profile (вне боевого сайта),Ценности (от важной к менее важной),Qadriyatlar (muhimdan kamroq muhimga),
ui.devProfile.learningStyle,Служебная страница /dev/profile (вне боевого сайта),Стиль восприятия,Idrok uslubi,
ui.devProfile.points,Служебная страница /dev/profile (вне боевого сайта),баллов,ball,
ui.devProfile.json,Служебная страница /dev/profile (вне боевого сайта),Все данные (JSON),Barcha maʼlumotlar (JSON),
ui.devProfile.surveyTitle,Служебная страница /dev/profile (вне боевого сайта),Контекстный опрос,Qoʻshimcha soʻrovnoma,
ui.devProfile.profileNotDone,Служебная страница /dev/profile (вне боевого сайта),"Опрос пройден не полностью. Профиль появится, когда будут отвечены все вопросы опроса.",Soʻrovnoma toʻliq yakunlanmagan. Profil soʻrovnomaning barcha savollariga javob berilgandan keyin paydo boʻladi.,
ui.devProfile.profileTitle,Служебная страница /dev/profile (вне боевого сайта),Профиль для ИИ (Приложение А §9),Sunʼiy intellekt uchun profil (Ilova A §9),
